iteration,loss,accuracy
24,0.6242189407348633,0.6061111092567444
49,0.5478008389472961,0.683222234249115
74,0.5135995745658875,0.7403333187103271
99,0.4876757264137268,0.7671111226081848
124,0.4355125427246094,0.7986665964126587
149,0.4397509694099426,0.7954444885253906
174,0.39676931500434875,0.8324443697929382
199,0.39265915751457214,0.8314444422721863
224,0.395284503698349,0.8342221975326538
249,0.3878721296787262,0.8382222056388855
274,0.3796744644641876,0.843666672706604
299,0.3738035559654236,0.8396667242050171
324,0.3632811903953552,0.8505555987358093
349,0.3539202809333801,0.859333336353302
374,0.36562639474868774,0.8537777662277222
399,0.36670011281967163,0.8482221364974976
424,0.3797573447227478,0.8441110849380493
449,0.3618324398994446,0.8542221784591675
474,0.3725968301296234,0.8440000414848328
499,0.3693901598453522,0.8424444198608398
524,0.3700530529022217,0.8520000576972961
549,0.39710095524787903,0.8327777981758118
574,0.36428776383399963,0.8532221913337708
599,0.37709522247314453,0.8494443893432617
624,0.3855847418308258,0.8431110382080078
649,0.382354199886322,0.8448888659477234
674,0.3941245675086975,0.8403333425521851
699,0.38083696365356445,0.8492221832275391
724,0.3805995583534241,0.8442222476005554
749,0.39348581433296204,0.8376666903495789
774,0.37492185831069946,0.8487777709960938
799,0.37176212668418884,0.8489999771118164
824,0.38471540808677673,0.8368889093399048
849,0.36810532212257385,0.8487777709960938
874,0.3805615305900574,0.8462222218513489
899,0.3764795660972595,0.8479999303817749
924,0.3781072199344635,0.8482221364974976
949,0.3818325102329254,0.8414444923400879
974,0.3729912340641022,0.8512222170829773
999,0.37240827083587646,0.8497778177261353
1024,0.3768659830093384,0.8444444537162781
1049,0.39546725153923035,0.838888943195343
1074,0.3876175284385681,0.842666745185852
1099,0.38402241468429565,0.8414444923400879
1124,0.36380234360694885,0.8420000076293945
1149,0.40381813049316406,0.8333333134651184
1174,0.36352041363716125,0.8462222218513489
1199,0.38666266202926636,0.8449999690055847
1224,0.3815584182739258,0.8444444537162781
1249,0.4048314094543457,0.8325555920600891
1274,0.3640449345111847,0.8469999432563782
1299,0.39219361543655396,0.8315555453300476
1324,0.3739238381385803,0.8502222299575806
1349,0.3602026402950287,0.8535555005073547
1374,0.38012567162513733,0.850444495677948
1399,0.3552926480770111,0.8563333749771118
1424,0.37324246764183044,0.8403332829475403
1449,0.3734439015388489,0.8504444360733032
1474,0.3734927475452423,0.8476667404174805
1499,0.3643862307071686,0.8542221784591675
1524,0.3482396900653839,0.8565555810928345
1549,0.36800843477249146,0.8428889513015747
1574,0.3454322814941406,0.8577777743339539
1599,0.34372270107269287,0.8635555505752563
1624,0.347515732049942,0.8579999804496765
1649,0.3563774526119232,0.8557778596878052
1674,0.37160640954971313,0.8524444699287415
1699,0.3491606116294861,0.8597778081893921
1724,0.3702436089515686,0.8513333201408386
1749,0.36841636896133423,0.8518888354301453
1774,0.3485560715198517,0.8579999804496765
1799,0.3738912045955658,0.8468888998031616
1824,0.3351258933544159,0.8655555844306946
1849,0.3657529950141907,0.854888916015625
1874,0.34989941120147705,0.8532221913337708
1899,0.3390548527240753,0.8577777743339539
1924,0.3457338809967041,0.8607778549194336
1949,0.33785194158554077,0.8637778162956238
1974,0.3437182903289795,0.8617777824401855
1999,0.3621663749217987,0.8488888740539551
